date,code,name,new_price,price_pct,net_amount,net_super_amount,net_large_amount,net_middle_amount,net_small_amount
2022-03-21,ts600396,金山股份,4.06,0.5,-27551252.0,-17104594.0,-10446658.0,-16387197.0,43938448.0
2022-03-21,ts688256,寒武纪-U,65.0,-1.89,-27557988.0,-13509198.0,-14048790.0,16540668.0,11017319.0
2022-03-21,ts000503,国新健康,11.35,1.25,-27584858.0,-6432007.0,-21152851.0,-9147642.0,36732501.0
2022-03-21,ts603212,赛伍技术,20.21,-1.56,-27809474.0,-3746952.0,-24062522.0,349429.0,27460044.0
2022-03-21,ts002093,国脉科技,7.31,0.55,-27861859.0,-11938459.0,-15923400.0,5771328.0,22090531.0
2022-03-21,ts000636,风华高科,20.6,0.05,-27900026.0,-25440896.0,-2459130.0,15469007.0,12431020.0
2022-03-21,ts002062,宏润建设,5.29,0.57,-28050152.0,-5927734.0,-22122418.0,16655036.0,11395116.0
2022-03-21,ts600095,湘财股份,8.53,-2.51,-28106141.0,-12498135.0,-15608006.0,4391928.0,23714214.0
2022-03-21,ts000791,甘肃电投,6.27,-1.1,-28230357.0,-11161277.0,-17069080.0,-1131678.0,29362036.0
2022-03-21,ts300676,华大基因,89.33,-1.07,-28275015.0,-10426372.0,-17848643.0,-15818864.0,44093883.0
2022-03-21,ts002673,西部证券,7.15,-2.46,-28337994.0,-17704412.0,-10633582.0,10923743.0,17414249.0
2022-03-21,ts002468,申通快递,7.56,-3.2,-28487193.0,-36745765.0,8258572.0,9853788.0,18633406.0
2022-03-21,ts600362,江西铜业,19.4,-0.26,-28572355.0,-9616515.0,-18955840.0,13771353.0,14801003.0
2022-03-21,ts600129,太极集团,20.55,-1.67,-28647200.0,-14225745.0,-14421455.0,15749454.0,12897744.0
2022-03-21,ts000938,紫光股份,19.67,-0.96,-28736450.0,-6681245.0,-22055205.0,1312001.0,27424449.0
2022-03-21,ts300245,天玑科技,12.8,0.16,-28756965.0,-21316474.0,-7440491.0,-10235152.0,38992118.0
2022-03-21,ts000710,贝瑞基因,18.54,-0.7,-28923626.0,-347456.0,-28576170.0,-6150406.0,35074032.0
2022-03-21,ts600143,金发科技,10.12,-0.69,-28979987.0,-13895469.0,-15084518.0,7940388.0,21039599.0
2022-03-21,ts601005,重庆钢铁,1.87,-0.53,-29033506.0,-24532210.0,-4501296.0,14638055.0,14395450.0
2022-03-21,ts300439,美康生物,16.39,-0.12,-29069739.0,-6887803.0,-22181936.0,6598950.0,22470789.0
2022-03-21,ts002665,首航高科,3.6,-1.64,-29159211.0,-18059870.0,-11099341.0,-15543797.0,44703008.0
2022-03-21,ts600426,华鲁恒升,32.36,0.34,-29256729.0,-21906775.0,-7349954.0,25070492.0,4186237.0
2022-03-21,ts300645,正元智慧,24.91,3.79,-29270195.0,2104408.0,-31374603.0,37677145.0,-8406950.0
2022-03-21,ts600853,龙建股份,3.89,-0.51,-29348327.0,-5127832.0,-24220495.0,-1520090.0,30868417.0
2022-03-21,ts000422,湖北宜化,18.56,0.43,-29432871.0,11135200.0,-40568071.0,-6190665.0,35623535.0
2022-03-21,ts300083,创世纪,11.95,-1.65,-29472888.0,-12177841.0,-17295047.0,11006561.0,18466328.0
2022-03-21,ts002025,航天电器,62.96,-0.38,-29556859.0,12837375.0,-42394234.0,-25360810.0,54917670.0
2022-03-21,ts603858,步长制药,22.55,0.09,-29694757.0,-15167642.0,-14527115.0,12539533.0,17155223.0
2022-03-21,ts601211,国泰君安,15.48,-0.51,-29750152.0,-18920506.0,-10829646.0,17369144.0,12381008.0
2022-03-21,ts000812,陕西金叶,6.31,0.32,-29798631.0,-13892894.0,-15905737.0,-5228977.0,35027608.0
2022-03-21,ts300168,万达信息,11.26,-2.34,-29839812.0,-24695574.0,-5144238.0,16510814.0,13328999.0
2022-03-21,ts601636,旗滨集团,13.44,0.98,-29852038.0,-22250323.0,-7601715.0,40327200.0,-10475152.0
2022-03-21,ts600367,红星发展,20.78,-0.48,-29897833.0,-11853270.0,-18044563.0,8063592.0,21834241.0
2022-03-21,ts002717,岭南股份,3.57,-0.83,-29903215.0,-9861715.0,-20041500.0,-3549256.0,33452473.0
2022-03-21,ts600293,三峡新材,3.91,1.82,-29924403.0,-6618163.0,-23306240.0,6598361.0,23326042.0
2022-03-21,ts300096,易联众,8.67,-0.12,-30319893.0,-16385604.0,-13934289.0,14629723.0,15690171.0
2022-03-21,ts002053,云南能投,19.61,9.98,-30603182.0,-14627950.0,-15975232.0,5981746.0,24621437.0
2022-03-21,ts300471,厚普股份,21.97,3.05,-30639847.0,5707646.0,-36347493.0,-20810365.0,51450212.0
